,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON
54,CalcareaPhosphorica,,,,,,menses too early profuse bright in girls if late blood dark,"after prolong nursing,leucorrhoea like white egg,worse morning",,,,,,first bright red then dark with violent backache,"milk taste salty,child refuse s breast",prolapsus in debilated persons,,,,,,,,,,,,,,,,,,,,,,,,"during lactation ,sexual excitement,nymphomania,ache,pressing, in uterine region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CalcareaSulphuricum,,,,,,"menses late long lasting, headache twitching great weakness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Calendula Officinalis,uterine hypertrophy,,chr endocervicitis,,,,,,,,,,,,OS lower than natural,,,menses suppressed with cough,,warts at os externum,,,,,,,,,,,,,,,sense weight fullness in pelvis,,,,,,"stretcing dragging in groin, pain on sudden moment",,,,Menorrhagia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Cannabis indica,"uterine colic with nervous agitation,sleeplessness",,,,,"menses profuse,dark,painfull without clots",,,,,,,backache during menses,,,,,,,,,,,,,,,,,,dysmenorrhoea with sexual desire,,,,,,,,,,,,sterility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Cannabis Sativa,,,,,,,,,,,,,,,,,,,,,,,,,"amenorrhoea when physical powers exercise overtaxed, also constipation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Cantharis,"constant discharge uterus, worse false step","burning pain ovaries,extreemly sensitive",,,"black or dark swelling vulva,irritation",menses too early too profuse,,,,,retained placenta with painfull urination,,,,"expells moles,dead foetuses,membranes etc",,,,,,,,,,,,,,,,,,puerpearl metritis with inflamation bladder,,pain coccyx lancinating tearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Capsicum,,sticking sensation in left ovarian region,,,,,,,,,,,,,,,,,,,,"uterine bleed,haemorrhage near menopause with nausea",,,,climacteric disturbences with burning tip tongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CarboAnimalis,"cancer uterus,burning pain down thigh",,,"painfull induration esp right breast,darting pain",burning vagina and labia,"menses too early,frequent long lasting,follow great exhaustion,hardly speak",,,flow only morning,,,,,,,"nausea of pregnency,worse night",,,,,,,,,,,,,,,,,,,,,,lochia offensive,,cancer uterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CarboVegetabilis,,,,,"vulva swollen,apathae,varices pudenda",during menses burning hands and soles,"leucorrhoea before menses,thick,greenish,milky ,excoriating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CarbolicumAcidum,,"pain left ovary, worse walk open air",erosions cervix fetid acrid discharge,,"pustules vulva,contain bloody pus",,"irritating leucorrhoea cause itch burn,leucorrhoea in children",,discharge always offence,,,,,,,,,,,,,,,,,,,,,,,,,,agonizing backache across lion dragging down thigh,,,,,,,puerperal fever with offencive discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Castoreum,,,,,,,,,,,,pain start in middle thighs,,,,,,,,,,,,,amenorrhoea with painful tympanities,,,,,,"dysmenorrhoea,blood discharged in drops with tenesmus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Caulopphyllum,"rigididity OS, spasmodic sever pain all direction,shivering  without progress,false pain",,needle like pain in cervix,,,menses and leucorrhoea profuse,"after pains,leucorrhoea with moth spots or any skin spots on forehead",,,,,,,,,,revives labor pains and further progress of labor,,,,,,habitual abortion from uterine debility,,,,,,,,dysmenorrhoea with pains flying to other parts of body,,,,,,,"lochia protracted,great atony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Causticum,uterine inertia during labour,,,,,menses delay late,leucorrhoea night with great weakness,,,,"menses cease night,flow only during day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Chamomilla,"uterine bleeding haemorrhages clotted blood ,labor like pain",,,"nipples inflamed,tender or pain to touch",,,,,,,infants breasts tender or pain,,,,,,"labor pains,spsmodic,press upward,intolerent pain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Chelidonium,,,,,,menses too late too profuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pain across pelvis,from hip to hip",,,,,,,,,,,,Pain immediately before menses,"after pains,great sensitiveness and intolerence pain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ChimaphilaUmbellata,,,,"painfull tumor,undue secration milk,rapid atrophy breasts","labia inflamed,swell, pain vagina",,,,,,no or not ulcerated breast,,,,"women large breasts, tumor in mamary gland with sharp pain through it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CimexAcanthia,,shooting pain from vagina up towards left ovary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,CimicifugaRacemosa,,"pain ovarian area region, pain shoot upward, down anterior thighs",,"infra mammary pains,worse left side",,"menses irregular profuse dark clotted or coagulated,offensive,",,,,,"menses with  backache,nervousness",,,,"ovarian neurolgia,facial blemishes in young women",,,,,,,,,,,,,,,,,,,,"pain across pelvis,from hip to hip",,,,,,,,,,,,Pain immediately before menses,"after pains,great sensitiveness and intolerence pain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Cina,uterine bleed or haemorrhage before puberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Cinchona Officinnalis,,,,,,"menses too early,profuse menses with pain",bloody leucorrhoea,,seems take place usual menstrual discharge,,,,,,,,,,desire too strong,,,,,,,,,,,dark clots and abdominal distention,,,,,painfull heaviness in pelvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Cinnabaris Mercurius Sulphuratus Ruber,,,,,feeling pressure in vagina,,leucorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Cinnamonum,uterine bleed or haemorrhage caused by over lifting,,,,,"menses early,profuse,prolong bright red",,,,,,fingers swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bearing down sensation,,,,"uterine bleed during puerperal state, menorrhagia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,CistusCanadensis,,,,induration and inflamation mammae or breast,,,bad smelling leucorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sensitive to cold air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Cocculus,painfull pressing in uterine region followed by haemorrhoids,,,,,"too early menses,clotted with spasmodic colic",purulent or pus gushing leucorrhoea between menses,,,,so weak scarcely speak,,,,weak during menses scarcely or unable to stand,,,,,,,,,,,,,,,,dysmenorrhoea with profuse dark menses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Coccus Cacti,,,,,labia inflamed,"menses too early,profuse,black thick,dark clots with dysuria",,,"intermittent menstruation,flow only evening and night",,,,,,large clots escape when passing urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CoffeaCruda,,,,,"hypersensitive vulva and vagina, voluptuous itching","menses too early,long lasting",,,,,,,,,,,,,,,,,,,,,,,,,dysmenorrhoea large clots of black or dark blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Colchicum,,,,,sensation swelling  in vulva and clitoris,cold feeling  in thigh after menses,,,,,,,,,pruritis or itching genitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CollinsoniaCanadensis,"prolapse uterus womb,swelling dark redness genitals",,,,sensation  swelling labia and clitoris,cold feeling thighs after menstruation,,,,,,,,,membranous dysmenorrhoea with constipation,,,,,pruritis vulva,,,,,,,,,,,dysmenorrhoea pain worse on sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Colocynthis,,round small cystic tumors in ovary or in broad ligaments,,,,,,,,,must draw up doudble with restlessness,,,,boring pain in ovary,,,,,,,,,,,,,,,wants abdomen supported by pressure,,,,,,,,,,,"bearing down cramps, cause her to bend double, Opium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Conium,,"ovaritis, ovary enlarged,indurated,lancinating pain",induration of OS cervix,"breast mammae lax and shrunken,hard painfull to touch",itching around pudenda,"brests enlarge painfull, before and during menses",leucorrhoea after urination,,,,unready conception,,,,"stitch in nipples,wants to press hard with hand",,,ill effects of repressed sexual desire or suppressed menses or from excessive indulgence,,Rashes before menses,,,,,,,,,,,dysmenorrhoea wit drawing down thighs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ConvallariaMajalis,great soreness uterus area region with sympathatic palipitation,,,,itching at urinary meatus and vaginal orifice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in sacro iliac joints running down leg,,,,,,,,,sensation asif heart ceased beating then starting very suddenly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Copaiva,,,,,itching vulva and anus with bloody purulent discharge,"profuse strong smelling menstrual discharges,",,,,,menstrual discharge with pain radiate to hip bones with nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Cotyledon,,,,pain under left nipple and ache right breast,,,,,,,"pain through to scapula from region of left breast,",,,,pain at angles of scapula,,,,,,,,,,,,,,,,,,,,,,,,,,choking fullness in throat,,,"full bursting feeling, asif from obstruction at heart,breathing oppressed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Crocus Sativa,uterus bleed haemorrhage clots with long strings,,,jerking pain in interior or inside left breast,urging blood to genitals,"menses dark,viscid,too frequent copious black or dark and slimy",,,,,,,,,bounding feeling asif something alive in right breast,,,,,,urging blood to genitals,,"treatened abortion esp when haemorrhage or bleed  is dark,stringy",,,,,uterine bleeding haemorrhage worse least movement,,,,,,,,,,,,,left breast pain asif drawn towards back by means of thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Crotalus horridus,uterus bleeding haemorrhage with faint at stomach,,,,,prolonged or continued menses,,,,,sensation as though uterus drop out,can not keep still legs,,phlegmasia alb dolens,painfull drawing in uterus ligaments,,,,,,,,,,,,,,,,dysmenorrhea pain extend to thighs  with aching in area region heart,,,,,,,,,,,"puerperal fever,offensive lochia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,cuprum metallicum,,,,,,menses too late protracted,,,,,,,,,"cramps extend to chest before,durin,after suppression menses",,,menses also suppressed from foot sweats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ebbulition of blood,paipitation chlorosis,after pains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Curare Woorari,,,,,,menses too early,leucorrhoea thick purulent offensive,,,,during menses colic headache kidney pain,,,,,,,,,,,,,,,,,,,,"dysmenorrhoea,during menses colic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Cyclamen,,,,after menses swelling breast with milky secration,,"menses profuse black or dark, membranous",,,flow less when moving about,,,,,,"menses irregularities with megrim or migraine and blindness, fiery spots before eyes",,"post partum bleeding haemorrhage with colic,bearing down with relief after gush of blood",,,,,,,hiccough during pregnancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Digitalis,uterus bleeding haemorrhage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,labor like pain abdomen and back before menses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,DiascoreaVillosa,"uterus colic,pain extend or radiate from uterus",,,,,,,,,,vivid dreams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Dulcamara,,,,breast mammae engorged or swollen,,,,,,,"sore,delicate, sensitive to cold",,,,,,,suppression menses from cold or dampness,,rash appears on skin before menses appears or sexual excitement,,,,,,,,,,,dysmenorrhoea with blotches or irregular spots all over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,EchinaceaRudbeckia,,,,,,,leucorrhoea offensive excoriating,,,,,,,,,,,discharge suppressed,,,,,,,,,,,,abdomen sensitive and tympanitic or distention,,,,,,,,,,puerperal scepticaemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Elaps Corallinus,,,,,itching vulva and vagina,discharge black or dark blood between menses,,,,,,,,,,,,,,,,,,,,,,,,,dysmenorrhoea with black or dark blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ErrigeronLeptilonCanadense,,,,,,lochia comes gushes  between menses,leucorrhoea with urinary irritation,,,,nose bleed instead of menses,,,,bleeding piles haemorrhoid,,,,,,,,,"pregnant women  with weak uterus,blood discharge on least or slight exertion",,,,,,,,,"metrorrhagia with violent irritation rectum,bladder, prolapse uterus",,,,,bloody lochia returns after least motion or movement ,,,,,,,,menorrhagia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,EucalyptusGlobulus,,,,,,,leucorrhoea acrid fetid or offensive bad smell,,,,,,,,,,,,,,,,,,,,ulcer around orifice of urethra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Euphrasia,,,,,,menses painful late short scanty,,,flow lasts only an hour or day,,,,,,,,,,,,,,,,amenorrhoea with optholmia or with eye problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Eupion,uterus flexions,burning right ovary,,,sore pain between labia during urination,mense too early and copious or profuse,leucorrhoea gushing,,,,after menses yellow leucorrhoea with sever backache,,"when pain in back ceases or stops, the discharges gushes out",,chronic tubal disease,,,,"during menses irritable and disinclined to talk,burning stitch in chest and heart","itching or pruritis pudenda, labia swollen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Fagopyrum,,burning in right ovary,,,,,pruritis vulva with yellow  leucorrhoea worse rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Ferrum iodatum,retroversion and prolapse uterus,,,,"on sitting, feel asif something pressed upward in vagina",,leucorrhoea like boilled starch,,,,,,,,,,,menses suppressed or  scanty,,"itching and soreness, vulva and vagina",,,,,,,,,,,,,,,,,,,,,much bearing down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Ferrum Metallicum,discharge  long pieces fro uterus,,,,"sensitive vagina, prolapse vagina","menses too early profuse last long or continuous,pale watery",,,,,menses remit a day or two then return,,,,,,,,,,,,tendency to abortion,,,,,,,,,,,,,,,,,,,,,,,,"women who weak,delicate,chlorotic yet have fiery red face",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Ferrum phosphoricum,,,,,vaginismus vagina dry and hot,"menses every three weaks with bearing down sensation,pain on top head",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Fluoricum Acidum,ulceration  uterus and OS,,,,,"menses profuse,copious frequent too long or continuous",leucorrhoea profuse excoriating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nymphomania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,FraxinusAmericana,uterus enlarged and patullous or spread widly from center,,,,,,watery unirritating leucorrhoea,,,fibroids with bearing down sensation,,cramping in feet worse afternoon and night,,,,,,,,,,,,,,,,,,,dysmenorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Gelsemium,"rigid OS, sensation asif uterus squeezed",,,,Vaginusmus,"aphonia or unable to speak,sore throat during menses",,,,,,,,,,,"false labor pain,pains up back",,,,,,,,,,,,,,"dysmenorrhoea with scanty flow,menses retarted or limitation, slowness",,,,pain extend to back and hips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Gernium Maculatum,,,,sore nipples,,menses too profuse,,,,,,,,,,, post partum bleeding or child birth follow bleeding or haemorrhages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Glonoine,,,,,,menses delayed or sudden ceasation or stops with congest in head,,,,,,,,,,,,,,,,,,,,climacteric flushings or hot flush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Glycerinum,profuse long lasting or continuous with bearing down heaviness in uterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general sense of exhaustion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Gnaphalinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dysmenorrhoea with scanty and painful menses,,,,weight and fullfullness in pelvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
